year,manufacturer,make,make/model,thefts,production,rate,type
2006,SUZUKI,SUZUKI,vitara/grand vitara,107,46223,2.31,MPV
2007,FORD MOTOR CO,FORD,crown victoria,17,7424,2.29,Car
2011,FORD MOTOR CO,MERCURY,GRAND MARQUIS,23,0,2.29,Car
2010,GENERAL MOTORS,CADILLAC,DTS,36,15744,2.29,Car
2007,CHRYSLER,JEEP,LIBERTY,209,91466,2.29,MPV
2004,GENERAL MOTORS,CHEVROLET,BLAZER S10/T10,116,50855,2.28,MPV
2004,SUZUKI,SUZUKI,forenza,57,25032,2.28,Car
2004,GENERAL MOTORS,PONTIAC,GRAND PRIX,408,179556,2.27,Car
2006,GENERAL MOTORS,CADILLAC,CTS,125,55066,2.27,Car
2004,FORD MOTOR CO,LINCOLN,TOWN CAR,125,55227,2.26,Car
2006,GENERAL MOTORS,BUICK,RAINIER,26,11503,2.26,MPV
2012,GENERAL MOTORS,CHEVROLET,MALIBU,509,225791,2.25,Car
2004,FORD MOTOR CO,LINCOLN,LS,66,29344,2.25,Car
2004,SUZUKI,SUZUKI,aerio,37,16459,2.25,Car
2010,FORD MOTOR CO,FORD,MUSTANG,162,72346,2.24,Car
2009,KIA,KIA,spectra,135,60296,2.24,Car
2004,MITSUBISHI,MITSUBISHI,outlander,50,22336,2.24,MPV
2007,GENERAL MOTORS,CHEVROLET,HHR,223,99681,2.24,MPV
2010,GENERAL MOTORS,CHEVROLET,COBALT,260,116273,2.24,Car
2011,NISSAN,NISSAN,sentra,213,0,2.23,Car
2010,VOLVO,VOLVO,C 70,5,2238,2.23,Car
2013,BMW,BMW,6,16,7196,2.22,Car
2012,FORD MOTOR CO,FORD,MUSTANG,178,80487,2.21,Car
2004,TOYOTA,TOYOTA,corolla,602,272301,2.21,Car
2004,GENERAL MOTORS,CHEVROLET,CORVETTE,74,33501,2.21,Car
2008,GENERAL MOTORS,CHEVROLET,HHR,219,99176,2.21,MPV
2005,MITSUBISHI,MITSUBISHI,endeavor,46,20871,2.20,MPV
2006,NISSAN,NISSAN,altima,648,294015,2.20,Car
2012,AUDI,AUDI,A8,10,4538,2.20,Car
2009,GENERAL MOTORS,CHEVROLET,COBALT,312,141588,2.20,Car
2006,ISUZU,ISUZU,i series pickup,10,4546,2.20,Truck
2009,GENERAL MOTORS,SATURN,AURA,78,35472,2.20,Car
2008,TOYOTA,TOYOTA,corolla,374,170360,2.20,Car
2005,HYUNDAI,HYUNDAI,sonata,175,79781,2.19,Car
2010,CHRYSLER,DODGE,CALIBER,103,47199,2.18,Car
2012,VOLVO,VOLVO,XC 90,3,1377,2.18,MPV
2010,TOYOTA,TOYOTA,CAMRY SOLARA,691,317754,2.17,Car
2007,MERCEDES-BENZ,MERCEDES-BENZ,220 (s-class),91,41867,2.17,Car
2004,KIA,KIA,spectra,96,44322,2.17,Car
2004,NISSAN,NISSAN,350z,87,40255,2.16,Car
2009,MERCEDES-BENZ,MERCEDES-BENZ,s-class,22,10189,2.16,Car
2011,NISSAN,NISSAN,altima,387,0,2.16,Car
2008,AUDI,AUDI,S6,2,928,2.16,Car
2006,BMW,BMW,6,17,7893,2.15,Car
2004,TOYOTA,LEXUS,GS,21,9756,2.15,Car
2006,TOYOTA,LEXUS,SC,15,7008,2.14,Car
2008,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,215,100805,2.13,MPV
2004,FORD MOTOR CO,MERCURY,SABLE,90,42236,2.13,Car
2009,GENERAL MOTORS,CHEVROLET,HHR,172,80781,2.13,MPV
2013,NISSAN,NISSAN,gt-r,3,1410,2.13,Car
2004,TOYOTA,LEXUS,IS,24,11308,2.12,Car
2014,NISSAN,NISSAN,altima,597,281443,2.12,Car
2005,MAZDA,MAZDA,b series pickup,12,5686,2.11,Truck
2006,LOTUS,LOTUS,elise,3,1424,2.11,Car
2007,TOYOTA,TOYOTA,corolla,740,351414,2.11,Car
2004,FERRARI,FERRARI,360,2,950,2.11,Car
2007,NISSAN,INFINITI,FX45,1,475,2.11,MPV
2011,AUDI,AUDI,A8,10,0,2.10,Car
2009,TOYOTA,SCION,tC,57,27179,2.10,Car
2006,GENERAL MOTORS,PONTIAC,montana van,44,20984,2.10,MPV
2006,GENERAL MOTORS,PONTIAC,GTO,29,13857,2.09,Car
2007,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,257,122918,2.09,MPV
2005,HYUNDAI,HYUNDAI,elantra,277,132495,2.09,Car
2006,KIA,KIA,sorento,116,55515,2.09,MPV
2005,MITSUBISHI,MITSUBISHI,montero,8,3829,2.09,MPV
2004,MERCEDES-BENZ,MERCEDES-BENZ,170 (slk-class),8,3836,2.09,Car
2013,GENERAL MOTORS,CHEVROLET,CRUZE,433,207657,2.09,Car
2009,JAGUAR LAND ROVER,JAGUAR,XF,27,12953,2.08,Car
2009,MAZDA,MAZDA,3,99,47569,2.08,Car
2008,TOYOTA,SCION,tC,114,54835,2.08,Car
2014,MERCEDES-BENZ,MERCEDES-BENZ,s-class,30,14442,2.08,Car
2010,GENERAL MOTORS,CHEVROLET,MALIBU,381,183777,2.07,Car
2009,FORD MOTOR CO,LINCOLN,TOWN CAR,24,11596,2.07,Car
2008,SUZUKI,SUZUKI,reno,10,4840,2.07,MPV
2014,HYUNDAI,HYUNDAI,accent,136,66013,2.06,Car
2008,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,22,10679,2.06,Car
2007,GENERAL MOTORS,BUICK,ALLURE,113,54938,2.06,Car
2014,GENERAL MOTORS,CHEVROLET,SONIC,171,83217,2.05,Car
2010,GENERAL MOTORS,CHEVROLET,AVEO,65,31692,2.05,Car
